eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
200.0,-1256.92670427,0.0006952285766601562,2592,2200,1.4723843336105347,132000,7361.84619140625
200.0,-1225.4272788199999,0.01251751184463501,2600,2300,1.475710391998291,138000,325.5032043457031
200.0,-1213.4490639,0.052729129791259766,2606,2400,1.4935705661773682,144000,8506.1123046875
200.0,-1190.60394224,0.003772735595703125,2610,2500,1.4990297555923462,150000,291.63629150390625
200.0,-1197.3207337699998,0.04107540845870972,2611,2600,1.506030797958374,156000,9711.4541015625
200.0,-1197.07028253,0.0005407929420471191,2609,2700,1.5017036199569702,162000,357.3968200683594
200.0,-1224.28283324,0.05877125263214111,2618,2800,1.5070277452468872,168000,10920.779296875
200.0,-1262.88080937,0.009675979614257812,2617,2900,1.5067939758300781,174000,383.3614196777344
200.0,-1263.85231385,0.05352377891540527,2619,3000,1.5123131275177002,180000,11667.1376953125
200.0,-1228.9974096899998,0.17489290237426758,2618,3100,1.5161374807357788,186000,189.2809295654297
200.0,-1185.5117618099998,0.050253212451934814,2616,3200,1.5186235904693604,192000,14560.638671875
200.0,-1177.86998955,0.17073363065719604,2613,3300,1.5127068758010864,198000,396.0445556640625
200.0,-1222.6766611899998,0.0676422119140625,2608,3400,1.5163235664367676,204000,16056.6181640625
200.0,-1252.0812766099998,0.221135675907135,2604,3500,1.502758264541626,210000,399.626953125
200.0,-1311.92426024,0.043699443340301514,2603,3600,1.506184697151184,216000,18597.56640625
200.0,-1309.1950972,-0.00011551380157470703,2609,3700,1.5016520023345947,222000,474.8172302246094
200.0,-1366.3935703299999,0.013532936573028564,2607,3800,1.5056103467941284,228000,18912.18359375
200.0,-1357.86989438,0.027365505695343018,2609,3900,1.5084582567214966,234000,403.8434753417969
200.0,-1339.06227113,0.13018643856048584,2609,4000,1.4998939037322998,240000,21107.345703125
200.0,-1319.75847942,0.07072961330413818,2611,4100,1.5015521049499512,246000,249.15757751464844
200.0,-1282.5182322399999,0.10486960411071777,2613,4200,1.499829649925232,252000,22383.87890625
200.0,-1274.35614472,0.002646803855895996,2614,4300,1.4998047351837158,258000,562.5308227539062
200.0,-1280.7063618399998,0.0509260892868042,2614,4400,1.4916597604751587,264000,24762.646484375
200.0,-1297.4658156799999,0.11765897274017334,2610,4500,1.4834202527999878,270000,504.9848327636719
200.0,-1297.12362289,0.054810941219329834,2605,4600,1.4875926971435547,276000,27386.98828125
200.0,-1283.3372250200002,0.21248137950897217,2605,4700,1.4852793216705322,282000,372.3627014160156
200.0,-1289.6280442799998,0.10209697484970093,2604,4800,1.4786704778671265,288000,29908.271484375
200.0,-1281.6371808099998,0.24046915769577026,2604,4900,1.4842950105667114,294000,458.8309020996094
200.0,-1269.8229097199999,0.07956409454345703,2606,5000,1.4840426445007324,300000,31720.701171875
200.0,-1246.3045126299999,0.25388479232788086,2602,5100,1.4900472164154053,306000,272.669189453125
200.0,-1234.56038503,0.26011621952056885,2604,5200,1.4920008182525635,312000,32823.91796875
200.0,-1231.76838254,0.19818377494812012,2606,5300,1.490072250366211,318000,529.7621459960938
200.0,-1218.12227772,0.15597927570343018,2606,5400,1.494272232055664,324000,34720.7734375
200.0,-1230.8357945700002,0.18533360958099365,2607,5500,1.488356113433838,330000,271.1902160644531
200.0,-1219.62254835,0.11453789472579956,2607,5600,1.4949500560760498,336000,38255.29296875
200.0,-1258.2827119400001,0.019146502017974854,2610,5700,1.4947171211242676,342000,403.72857666015625
200.0,-1276.0396328499999,0.19588816165924072,2609,5800,1.484036922454834,348000,40237.0
200.0,-1289.35290684,0.32919973134994507,2611,5900,1.4790723323822021,354000,187.07293701171875
200.0,-1316.73471875,0.03221982717514038,2608,6000,1.4784858226776123,360000,42117.4609375
200.0,-1316.5738164900001,0.1241300106048584,2606,6100,1.477100133895874,366000,321.4307861328125
200.0,-1292.00158227,0.08689022064208984,2603,6200,1.4795129299163818,372000,43677.22265625
200.0,-1290.4975963799998,0.39686453342437744,2601,6300,1.482513666152954,378000,140.8321990966797
200.0,-1282.9687187099998,0.15571439266204834,2602,6400,1.4847373962402344,384000,47775.20703125
200.0,-1306.32270894,0.5880900621414185,2603,6500,1.4891352653503418,390000,370.63909912109375
200.0,-1276.5540440099999,0.014763712882995605,2604,6600,1.4890421628952026,396000,47829.140625
200.0,-1292.4564433,0.36312633752822876,2604,6700,1.4850817918777466,402000,397.2030029296875
200.0,-1293.0864683000002,0.08068698644638062,2605,6800,1.4876153469085693,408000,50696.78515625
200.0,-1347.8845595899998,0.0417671799659729,2606,6900,1.49228036403656,414000,301.4991760253906
200.0,-1352.77277432,0.07553267478942871,2606,7000,1.4969630241394043,420000,51960.5
200.0,-1344.35503168,0.23802202939987183,2608,7100,1.5051980018615723,426000,391.2831115722656
200.0,-1306.15897049,0.18259644508361816,2609,7200,1.505505919456482,432000,55672.265625
200.0,-1282.69628665,0.362282395362854,2609,7300,1.511103868484497,438000,214.09771728515625
200.0,-1290.7936871600002,-0.007758140563964844,2610,7400,1.5149130821228027,444000,58321.16015625
200.0,-1266.97000607,0.8556239455938339,2610,7500,1.5168578624725342,450000,167.77484130859375
200.0,-1278.26407701,0.03607672452926636,2611,7600,1.516618251800537,456000,59390.76953125
200.0,-1294.4581472300001,0.31179922819137573,2609,7700,1.522431492805481,462000,208.54718017578125
200.0,-1301.9379430500003,0.09106910228729248,2610,7800,1.5185648202896118,468000,62788.05859375
200.0,-1319.46879813,0.3672730326652527,2609,7900,1.514984369277954,474000,149.32730102539062
200.0,-1331.53940865,0.05842554569244385,2608,8000,1.5137598514556885,480000,64129.75
200.0,-1344.5502419499999,0.22065407037734985,2609,8100,1.507635474205017,486000,330.9398498535156
